athletic_net_id,name,meet_date,season_year
208291,"Lowell Invitational","Sep 10, 2022",2022
207110,"1st Annual Fighting Knights Joust","Sep 17, 2022",2022
207239,"MHAL #2","Sep 22, 2022",2022
207240,"MHAL #3","Oct 5, 2022",2022
207835,"Rough Rider Invitational","Oct 14, 2022",2022
207137,"Terry Ward Bellarmine Invitational","Oct 15, 2022",2022
207241,"MHAL #4","Oct 20, 2022",2022
211486,"Crystal Springs BVAL Championships","Oct 31, 2022",2022
221066,"2022 CIF Central Coast Section Championships","Nov 12, 2022",2022
207543,"2022 CIF State Cross Country Championships","Nov 26, 2022",2022