name,meet_date,season_year,venue_name
BVAL Championships,2002-11-04,2002,Crystal Springs 
CCS Championsips,2002-11-16,2002,Toro Park 
Firebird Invitational,2003-09-11,2003,Fremont HS 
League Meet,2003-09-29,2003,Alum Rock 
League Meet,2003-10-06,2003,Alum Rock 
League Meet,2003-10-20,2003,Alum Rock 
League Meet,2003-10-27,2003,Alum Rock 
BVAL Championships,2003-11-03,2003,Crystal Springs 
CCS Championsips,2003-11-15,2003,Crystal Springs 
Firebird Invitational,2004-09-16,2004,Fremont HS 
Ram Invitational,2004-09-25,2004,Westmoor High 
League Meet,2004-09-28,2004,Montgomery Hill 
Artichoke Invitational,2004-10-02,2004,Half Moon Bay HS 
League Meet,2004-10-05,2004,Montgomery Hill 
Crystal Springs Invitational,2004-10-09,2004,Crystal Springs 
Montery Bay Invitational,2004-10-16,2004,Toro Park 
League Meet,2004-10-27,2004,Montgomery Hill 
BVAL Championships,2004-11-01,2004,Crystal Springs 
CCS Championsips,2004-11-13,2004,Toro Park 
League Meet,2005-09-16,2005,Montgomery Hill 
Artichoke Invitational,2005-10-01,2005,Half Moon Bay HS 
Crystal Springs Invitational,2005-10-08,2005,Crystal Springs 
League Meet,2005-10-13,2005,Montgomery Hill 
Montery Bay Invitational,2005-10-21,2005,Toro Park 
League Meet,2005-10-27,2005,Montgomery Hill 
BVAL Championships,2005-10-31,2005,Crystal Springs 
CCS Championsips,2005-11-12,2005,Crystal Springs 
Lowell Invitational,2006-09-23,2006,Golden Gate Park 
Center Meet,2006-10-26,2006,Crystal Springs 
BVAL Championships,2006-10-30,2006,Crystal Springs 
CCS Championsips,2006-11-11,2006,Toro Park 
League Meet,2007-09-17,2007,Alum Rock 
League Meet,2007-09-24,2007,Montgomery Hill 
League Meet,2007-10-01,2007,Alum Rock 
League Meet,2007-10-08,2007,Montgomery Hill 
Center Meet,2007-10-11,2007,Crystal Springs 
Center Meet,2007-10-25,2007,Crystal Springs 
BVAL Championships,2007-10-29,2007,Crystal Springs 
CCS Championsips,2007-11-10,2007,Crystal Springs 
Chieftain Invitational,2008-09-13,2008,Toro Park 
League Meet,2008-09-17,2008,Montgomery Hill 
League Meet,2008-09-24,2008,Montgomery Hill 
Crystal Springs Invitational,2008-10-11,2008,Crystal Springs 
League Meet,2008-10-15,2008,Montgomery Hill 
League Meet,2008-10-22,2008,Montgomery Hill 
League Meet,2008-10-27,2008,Montgomery Hill 
BVAL Championships,2008-11-03,2008,Crystal Springs 
CCS Championsips,2008-11-15,2008,Crystal Springs 
Lynbrook Invitational,2009-09-10,2009,Lynbrook High School 
Firebird Invitational,2009-09-17,2009,Cupertino High School 
Stanford Invitational,2009-09-26,2009,Stanford GC 
League Meet,2009-09-29,2009,Montgomery Hill 
Crystal Springs Invitational,2009-10-10,2009,Crystal Springs 
League Meet,2009-10-20,2009,Montgomery Hill 
League Meet,2009-10-27,2009,Montgomery Hill 
BVAL Championships,2009-11-06,2009,Crystal Springs 
CCS Championsips,2009-11-14,2009,Crystal Springs 
CA State Championship,2009-11-28,2009,Woodward Park 
Earlybird Invitational,2010-09-11,2010,Toro Park 
League Meet,2010-09-21,2010,Alum Rock 
League Meet,2010-10-05,2010,Alum Rock 
League Meet,2010-10-11,2010,Montgomery Hill 
League Meet,2010-10-19,2010,Alum Rock 
League Meet,2010-10-25,2010,Montgomery Hill 
BVAL Championships,2010-11-01,2010,Crystal Springs 
CCS Championsips,2010-11-13,2010,Toro Park 
Earlybird Invitational,2011-09-10,2011,Toro Park 
League Meet,2011-09-12,2011,Montgomery Hill 
League Meet,2011-09-19,2011,Montgomery Hill 
Stanford Invitational,2011-09-24,2011,Stanford GC 
League Meet,2011-09-26,2011,Montgomery Hill 
League Meet,2011-10-03,2011,Montgomery Hill 
League Meet,2011-10-10,2011,Montgomery Hill 
League Meet,2011-10-17,2011,Montgomery Hill 
Center Meet,2011-10-20,2011,Crystal Springs 
BVAL Championships,2011-10-31,2011,Crystal Springs 
CCS Championsips,2011-11-12,2011,Crystal Springs 
CA State Championship,2011-11-26,2011,Woodward Park 
Earlybird Invitational,2012-09-08,2012,Toro Park 
League Meet,2012-09-13,2012,Alum Rock 
League Meet,2012-09-20,2012,Alum Rock 
League Meet,2012-09-27,2012,Alum Rock 
Ram Invitational,2012-09-29,2012,Westmoor High 
League Meet,2012-10-04,2012,Alum Rock 
Mt. Sac XC Invitational,2012-10-19,2012,Mt SAC 
BVAL Championships,2012-10-29,2012,Crystal Springs 
CCS Championsips,2012-11-10,2012,Toro Park 
Earlybird Invitational,2013-09-07,2013,Toro Park 
League Meet,2013-09-12,2013,Montgomery Hill 
League Meet,2013-09-26,2013,Montgomery Hill 
Ram Invitational,2013-09-28,2013,Westmoor High 
League Meet,2013-10-01,2013,Montgomery Hill 
League Meet,2013-10-10,2013,Alum Rock 
Crystal Springs Invitational,2013-10-12,2013,Crystal Springs 
League Meet,2013-10-24,2013,Alum Rock 
Mt. Sac XC Invitational,2013-10-26,2013,Mt SAC 
BVAL Championships,2013-11-04,2013,Crystal Springs 
CCS Championsips,2013-11-16,2013,Crystal Springs 
Earlybird Invitational,2014-09-06,2014,Toro Park 
League Meet,2014-09-10,2014,Montgomery Hill 
DeLaSalle Invitational,2014-09-20,2014,Newhall Park 
League Meet,2014-09-25,2014,Montgomery Hill 
Ram Invitational,2014-09-27,2014,Westmoor High 
League Meet,2014-10-09,2014,Montgomery Hill 
Crystal Springs Invitational,2014-10-11,2014,Crystal Springs 
League Meet,2014-10-23,2014,Montgomery Hill 
Mt. Sac XC Invitational,2014-10-25,2014,Mt SAC 
BVAL Championships,2014-11-03,2014,Crystal Springs 
CCS Championsips,2014-11-15,2014,Toro Park 
Earlybird Invitational,2015-09-12,2015,Toro Park 
League Meet,2015-09-24,2015,Montgomery Hill 
Ram Invitational,2015-09-26,2015,Westmoor High 
League Meet,2015-10-08,2015,Montgomery Hill 
League Meet,2015-10-21,2015,Montgomery Hill 
Mt. Sac XC Invitational,2015-10-24,2015,Mt SAC 
BVAL Championships,2015-11-01,2015,Crystal Springs 
CCS Championsips,2015-11-14,2015,Crystal Springs 
League Meet,2016-09-08,2016,Montgomery Hill 
League Meet,2016-09-22,2016,Montgomery Hill 
Ram Invitational,2016-09-24,2016,Westmoor High 
Stanford Invitational,2016-10-01,2016,Stanford GC 
League Meet,2016-10-06,2016,Montgomery Hill 
Crystal Springs Invitational,2016-10-08,2016,Crystal Springs 
League Meet,2016-10-19,2016,Montgomery Hill 
Mt. Sac XC Invitational,2016-10-22,2016,Mt SAC 
BVAL Championships,2016-10-31,2016,Crystal Springs 
CCS Championsips,2016-11-12,2016,Crystal Springs 
CA State Championship,2016-11-27,2016,Woodward Park 
League Meet,2017-09-07,2017,Montgomery Hill 
Earlybird Invitational,2017-09-16,2017,Toro Park 
League Meet,2017-09-21,2017,Montgomery Hill 
Ram Invitational,2017-09-30,2017,Westmoor High (Const) 
League Meet,2017-10-05,2017,Montgomery Hill 
Crystal Springs Invitational,2017-10-07,2017,Crystal Springs 
Chico Autumn Invitational,2017-10-13,2017,Hooker Oak Park 
League Meet,2017-10-18,2017,Montgomery Hill 
BVAL Championships,2017-10-30,2017,Crystal Springs 
CCS Championsips,2017-11-11,2017,Toro Park 
CA State Championship,2017-11-25,2017,Woodward Park 
League Meet,2018-09-06,2018,Montgomery Hill 
League Meet,2018-09-13,2018,Montgomery Hill 
Pac Tiger Invitational,2018-09-22,2018,Elkhorn GC 
Scott Bauhs Invitational,2018-09-29,2018,Shadow Cliffs Regional Park 
Stanford Invitational,2018-09-29,2018,Stanford GC 
Crystal Springs Invitational,2018-10-06,2018,Crystal Springs 
League Meet,2018-10-17,2018,Montgomery Hill 
Meadow Park Invite,2018-10-20,2018,Meadow Park 
League Meet,2018-10-24,2018,Montgomery Hill 
BVAL Championships,2018-10-29,2018,Crystal Springs 
CCS Championsips,2018-11-18,2018,Toro Park 
CA State Championship,2018-11-24,2018,Woodward Park 
Time Trial,2019-08-29,2019,La Rinconada Area 
Lagoon Valley Classic,2019-09-07,2019,Lagoon Valley Park 
League Meet,2019-09-12,2019,Montgomery Hill 
Capital Cross Challenge,2019-09-28,2019,Arcade Creek GC 
Scott Bauhs Invitational,2019-09-28,2019,Shadow Cliffs Regional Park 
League Meet,2019-10-09,2019,Montgomery Hill 
Crystal Springs Invitational,2019-10-12,2019,Crystal Springs 
League Meet,2019-10-16,2019,Montgomery Hill 
Rough Rider Inv.,2019-10-18,2019,Woodward Park 
Mt. Sac XC Invitational,2019-10-26,2019,Mt SAC 
BVAL Championships,2019-11-04,2019,Crystal Springs 
CCS Championsips,2019-11-16,2019,Crystal Springs 
CA State Championship,2019-11-30,2019,Woodward Park 
Foot Locker West,2019-12-07,2019,Mt SAC 
League Meet,2021-03-09,2020,Westmont High School 
League Meet,2021-03-12,2020,Pleasant Hills High School 
League Meet,2021-03-16,2020,Andrew Hill High School 
League Meet,2021-03-19,2020,Westmont High School 
League Meet,2021-03-23,2020,Santa Teresa High School 
League Meet,2021-03-26,2020,Westmont High School 
League Meet,2021-03-30,2020,Willow Glen High 
MHAL #1,2021-09-09,2021,Montgomery Hill 
Lowell Invitational,2021-09-11,2021,Golden Gate Park 
Crystal Springs Invitational,2021-10-02,2021,Crystal Springs 
MHAL #2,2021-10-07,2021,Montgomery Hill 
MHAL #3,2021-10-14,2021,Montgomery Hill 
MHAL #4,2021-10-27,2021,Montgomery Hill 
BVAL Championsips,2021-11-01,2021,Crystal Springs 
CCS Championsips,2021-11-13,2021,Crystal Springs 
CA State Championships,2021-11-27,2021,Woodward Park 
Footlocker West,2021-12-24,2021,Mt SAC 
Lowell Invitational,2022-09-10,2022,Golden Gate Park (Const) 
Fighting Knights Invitational,2022-09-17,2022,Crystal Springs 
BVAL #2,2022-09-23,2022,Montgomery Hill 
BVAL #3,2022-10-05,2022,Montgomery Hill 
Crystal Springs Invitational,2022-10-08,2022,Crystal Springs 
Rough Rider Inv.,2022-10-14,2022,Woodward Park 
BVAL #4,2022-10-20,2022,Montgomery Hill 
BVAL Championsips,2022-10-31,2022,Crystal Springs 
CCS Championsips,2022-11-12,2022,Crystal Springs 
CA State Championship,2022-11-26,2022,Woodward Park 
BVAL #1,2023-09-06,2023,Montgomery Hill 
Lowell Invitational,2023-09-09,2023,Golden Gate Park (Const) 
Fighting Knights Invitational,2023-09-16,2023,Crystal Springs 
BVAL #2,2023-09-21,2023,Montgomery Hill 
Terry Ward Invitational,2023-10-14,2023,Baylands Park 
BVAL #3,2023-10-19,2023,Montgomery Hill 
BVAL Finals,2023-10-30,2023,Crystal Springs 
CCS Championships,2023-11-11,2023,Crystal Springs 
CA State Championship,2023-11-25,2023,Woodward Park 
National Postal,2024-09-09,2024,Track 
Fighting Knights Invitational,2024-09-14,2024,Crystal Springs 
League Meet,2024-09-25,2024,Montgomery Hill 
Scott Bauhs Invite,2024-09-28,2024,Shadow Cliffs Regional Park 
Crystal Springs Invitational,2024-10-12,2024,Crystal Springs 
Chico Autumn Invitational,2024-10-19,2024,Hooker Oak Park 
League Meet,2024-10-23,2024,Montgomery Hill 
BVAL Champions,2024-11-04,2024,Crystal Springs 